Description,Category
Payment - Rent for office - 45 High Street (Processed),Rent
Auto debit - Bookkeeping invoice - Q2 - Confirmed,Accountancy
Payment - Aviva - Commercial policy (Ref: 3945),Insurance
Auto debit - TalkTalk - Landline charges,Telephone
Direct debit - Building service charges,Management Service Charge
Direct debit - Bookkeeping invoice - Q2,Accountancy
Direct debit - NatWest transaction charge (Ref: 3945),Bank Charges
Transaction: Business insurance - AXA (Auto Pay),Insurance
Online transfer - Solicitor consultation - Confirmed,Legal
Transaction: Business premises rental - Thank you,Rent
Online transfer - CT600 Tax return (Processed),Corp Tax
Invoice paid - Legal advice - Johnson LLP,Legal
Invoice paid - Corporation Tax - HMRC submission (Auto Pay),Corp Tax
Transaction: Retainer fee - Law firm (Ref: 3945),Legal
Auto debit - Legal advice - Johnson LLP - Thank you,Legal
Auto debit - Rent for office - 45 High Street,Rent
Account audit fee,Accountancy
Transaction: Account audit fee - Confirmed,Accountancy
Transaction: Bookkeeping invoice - Q2 (Auto Pay),Accountancy
Online transfer - TalkTalk - Landline charges (Auto Pay),Telephone
Auto debit - Smith & Co - Tax services - Thank you,Accountancy
Online transfer - Bookkeeping invoice - Q2,Accountancy
Payment - O2 Business - Mobile plan (Ref: 3945),Telephone
Invoice paid - Business premises rental (Ref: 3945),Rent
Invoice paid - Retainer fee - Law firm,Legal
Direct debit - Octopus Energy - Utility Bill - Thank you,Light and Heat
Gas bill - British Gas (Processed),Light and Heat
Invoice paid - Overdraft interest - HSBC - Thank you,Bank Charges
Invoice paid - Legal advice - Johnson LLP,Legal
Payment - Electricity top-up - E.ON (Processed),Light and Heat
Auto debit - Legal advice - Johnson LLP (Ref: 3945),Legal
Auto debit - CT600 Tax return (Auto Pay),Corp Tax
Auto debit - TalkTalk - Landline charges,Telephone
Payment - Solicitor consultation (Processed),Legal
EDF Energy - Monthly electricity - Confirmed,Light and Heat
Payment - Printer ink - Staples (Auto Pay),Computer Consumables
Auto debit - O2 Business - Mobile plan (Auto Pay),Telephone
