Description,Category
ADMIRAL MOTO,Insurance
MOTIONARRA,Subscriptions
Payment: Zoom Video Communications Inc,Creditors Control Account
Justin Hazell,Sub-Contractors
Personal,Directors Loan Accounts (Director 1)
Payment: Toni & Guy,Creditors Control Account
LS GRILL & GEAR,Vehicle Fuel
Payment: LEE J PRODUCTIONS,Creditors Control Account
Personal,Directors Loan Accounts (Director 1)
Nest,Pension Fund
Payment: Tesco,Creditors Control Account
Commission,Bank Charges
ETOLLAVIS,Travelling
LS GRILL & GEAR,Entertainment
towcester motoring,Vehicle Fuel
The Vineyard,Entertainment
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Crowd Strike UK Ltd,Accounts Receivable
Payment: Zoom Video Communications Inc,Creditors Control Account
SOCKCO,Directors Loan Accounts (Director 1)
Payment: HP Instant Ink,Creditors Control Account
Payment: Adobe Systems Software,Creditors Control Account
Mcdonalds,Subsistence
Personal,Directors Loan Accounts (Director 1)
Welcome Break,Subsistence
HOLLYHILL,Subscriptions
JMEXECUTIV,Travelling
CHERWELL VALLE,Vehicle Fuel
ionos,"Computers & Software, 2202 - VAT"
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,credit cards
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,1200-Verbal Solutions Ltd
Payment: HPE c/o GMR marketing,Accounts Receivable
WIMBLEDON,"Rent, 2202 - VAT"
Payment: Mercedes Benz,Accounts Receivable
Personal,Directors Loan Accounts (Director 1)
Flight Centre,Overseas Travelling
Payment: Sage,Creditors Control Account
vodafone,"Telephone and Fax, 2202 - VAT"
Payment: Adobe Systems Software,Creditors Control Account
Nicola Dines,Net Wages
Nicola Dines,Net Wages
Personal,Entertainment
Payment: Andrew Coley,Creditors Control Account
Payment: Neil Trundle,Creditors Control Account
Personal,Directors Loan Accounts (Director 1)
Payment: daniel robert leigh,Creditors Control Account
Personal,Directors Loan Accounts (Director 1)
Payment: Cameron Anderson,Creditors Control Account
Payment: Jodi Hutton,Creditors Control Account
PAYE/NIC,P.A.Y.E.
Payment: Simon Donohue,Creditors Control Account
francis usher,Sub-Contractors
Payment: Garry Mannion,Creditors Control Account
Payment: David Fabbro Smith,Creditors Control Account
Payment: dale edwards,Creditors Control Account
Payment: Rachael Lynette Penrose,Creditors Control Account
SMC Detailing,Travelling
HAIRDRESSIN,Clothing Costs
HOLLYHILL,Subscriptions
Payment: Solera Inc,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,credit cards
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,1200-Verbal Solutions Ltd
Payment: Justin Hazell,Creditors Control Account
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Next,Creditors Control Account
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Mercedes Benz,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: envision racing limited,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: MAHINDRA RACING UK LIMITED,Accounts Receivable
MOTIONARRA,Subscriptions
Holafly,Overseas Travelling
JG PEST CONTROL,Office Supplies
British Airways,Travelling
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Zoom Video Communications Inc,Creditors Control Account
IM SOFTWARE LTD,Subscriptions
Nest,Pension Fund
Payment: Luke Maskell,Creditors Control Account
Payment: LEE J PRODUCTIONS,Creditors Control Account
Payment: Crunch Communications Ltd,Accounts Receivable
Pest control spray,Office Supplies
Commission,Bank Charges
Payment: Crunch Communications Ltd,Accounts Receivable
Payment: Matt Zarb,Creditors Control Account
Payment: Crowd Strike Inc,Accounts Receivable
Payment: Crowd Strike Inc,Accounts Receivable
Payment: Zoom Video Communications Inc,Creditors Control Account
Payment: Crowd Strike Inc,Accounts Receivable
Payment: Crowd Strike Inc,Accounts Receivable
Payment: Adobe Systems Software,Creditors Control Account
JG PEST CONTROL,Office Supplies
British Airways,Travelling
WOODHATCH SERVICE STATI REIGATE,Vehicle Fuel
HMRC E VAT,VAT
SOCKCO,Directors Loan Accounts (Director 1)
GOODWOOD ESTATE,Travelling
