Description,Category
Dajana.Radic,Charitable & Political Donations: Dajana.Radic
Snezana-Ci,Charitable and Political Donations: Snezana-Ci
Helpanimals,Charitable and Political Donations: Helpanimals
Commission Fee,Bank Fees
MEDTRONIC GLOB,Coupon Credits from JB
Dajana.Radic,Charitable & Political Donations: Dajana.Radic
Animalweb,Charitable and Political Donations: Animalweb
Federico Ismael Recayte Jara,Property Expenses - Spain
Taxi,Travel - International
Orangutan,Charitable and Political Donations: Orangutan
Restaurants,Entertainment
TFL,Travel - National
Taxi,Travel - International
Pharmacy,Personal care/ Cosmetic
Pallant of Arundel,Food / Groceries
Restaurants,Entertainment
Restaurants,Entertainment
NEWMONT CORPORATION,Coupon Credits from JB
Amazon Prime,Subscriptions
38 Degrees,Charitable and Political Donations: 38 Degrees
A&V Home Deco,Property Expenses - Spain
Parking,Travel - International
Cedipsa,Travel - International
Sam Debuse,Samuel Debuse
HUNTINGTON BANCSHS,Coupon Credits from JB
Restaurants,Entertainment
Fetcher Dog,Charitable and Political Donations: Fetcher Dog
Spotify,Subscriptions
Soi Dog Foundation,Charitable and Political Donations: Soi Dog Foundation
Cedipsa,Travel - International
UNION PACIFIC CORP,Coupon Credits from JB
Tk Maxx,Shopping
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Restaurants,Entertainment
Friends Earth Trust,Charitable and Political Donations: Friends Earth Trus
DELL INTNTL/EMC,Coupon Credits from JB
The Range,Shopping
American express,Bank Fees
Dare Djurovic,Charitable and Political Donations: Dared
ATM - Cash Withdrawals,Cash ATM Transactions
World Animal Protection,Charitable and Political Donations: World Animal Prote
Soho House (Membership),Entertainment
Commission Fee,Bank Fees
Goshcc,Charitable and Political Donations: Goshcc
Purolabs,Personal care/ Cosmetic
Autos Manel,Travel - International
Unknown,Unknown transactions
Cedipsa,Travel - International
ATM - Cash Withdrawals,Cash ATM Transactions
Groceries,Food / Groceries
Sky Digital,Subscriptions
Groceries,Food / Groceries
Mortgages,Mortgages Barclays
Eia UK,Charitable and Political Donations: Eia UK
TFL,Travel - National
Dogs Trust,Charitable and Political Donations: Dogs Trust
Horsham District Council,Motor Vehicle Expenses
Post Office,"Postage, Freight & Courier"
Cedipsa,Travel - International
Rugs.Co.Uk,Shopping
BOOKING HOLDINGS INC,Coupon Credits from JB
Wasabi,Food / Groceries
GILEAD SCIENCES INC,Coupon Credits from JB
Post Office,"Postage, Freight & Courier"
Tk Maxx,Shopping
Mr. Julian O Sarso,Julian O Sa
Four paws UK,Charitable and Political Donations: Four paws UK
Tk Maxx,Shopping
Groceries,Food / Groceries
Walmart Inc,Coupon Credits from JB
GLOW LAB IBIZA,Personal care/ Cosmetic
Federico Ismael Recayte Jara,Property Expenses - Spain
SMC Re Unity,Charitable and Political Donations: SMC Re Unity
Shelter Nat camp,Charitable and Political Donations: Shelter Nat camp
BROADCOM INC,Coupon Credits from JB
TUTTI FRUTTI,Property Expenses - Spain
NIKE INC,Coupon Credits from JB
Fauna & Flora,Charitable and Political Donations: Fauna & Flora cambridge
Compensation Credit,Compensation payments JB
Greenpeace Limited,Charitable and Political Donations: Greenpeace Ltd
ATM - Cash Withdrawals,Cash ATM Transactions
Wasabi,Food / Groceries
Cedipsa,Travel - International
Sightsavers,Charitable and Political Donations: Sightsavers
Wood Green Animal,Charitable and Political Donations: Wood Green Animal
Arun D.C.,Arun D.C.
Apple,Subscriptions
Change.org,Charitable and Political Donations: Change.org
"Vint Tr So Ltd,",Motor Vehicle Expenses
SOUTHERN RAILWAY,Travel - National
Restaurants,Entertainment
Restaurants,Entertainment
The Brooke Hospital,Charitable and Political Donations: The Brooke Hospital
Donkey Sanctuary,Charitable and Political Donations: Donkey Sanctuary
Steve Lewis,Steve Lewis
Hermanos Ramon san Jose Sant,Property Expenses - Spain
SGH AEROPORT DEIVISSA SANT JORDI DEESP EUR,Travel - International
Waitrose,Food / Groceries
"Post, Card 26",Cash ATM Transactions
Groceries,Food / Groceries
BMW Financial Services,BMW Car - Motor vehicles
Paypal Donation,Charitable and Political Donations: Paypal Donation
Unknown,UK Property / Farm Expenses - LFH Main Home
Pallant of Arundel,Food / Groceries
Change.org,Charitable and Political Donations: Change.org
Farmacia,Personal care/ Cosmetic
JUSTYNA DIENNET - Loan to friends,Loan to Friends
"Ronald Diennet, Two works ART",Loan to Friends
Restaurants,Entertainment
Cedipsa,Travel - International
Groceries,Food / Groceries
Paypal Donation,Charitable and Political Donations: Paypal Donation
Debans,Charitable & Political Donations: DEBANS
NVIDIA CORP,Coupon Credits from JB
bank charge,Bank Fees
Groceries,Food / Groceries
RSPCA,Charitable and Political Donations: RSPCA
Storrington Fish,Food / Groceries
Groceries,Food / Groceries
PDSA,Charitable and Political Donations: Pdsa Telford
Commission Fee,Bank Fees
Scott Wilson,UK Property / Farm Expenses - LFH Main Home
Unknown,Cash ATM Transactions
Amazon Prime,Shopping
Cedipsa,Travel - International
Huel,Food / Groceries
Amazon Prime,Subscriptions
Mytheresa Myth,Shopping
Nfu Mutual Ins-Bc,Insurance
Cotswold RAW,Animal care / Pet expenses
Lintbells,Animal care / Pet expenses
Orangutan,Charitable and Political Donations: Orangutan
Steve Lewis,Steve Lewis
Tk Maxx,Shopping
Cedipsa,Travel - International
Unknown,Bank Fees
Unknown,Telephone & Internet
bank charge,Bank Fees
Dogstar Foundation,Charitable and Political Donations: Dogstar Donat
Amazon,Shopping
WHSmith,Food / Groceries
BAHIA HOMEO PARA-MARRAKECH,Shopping
Petrovictan,Charitable & Political Donations: Petrovictan
Dare Djurovic,Charitable and Political Donations: Dared
Unknown,Bank Fees
Soho House (Membership),Entertainment
Amazon Prime,Shopping
Cedipsa,Travel - International
Boots,Shopping
Debans,Charitable & Political Donations: DEBANS
L3Ky22,Charitable and Political Donations: L3Ky2
Commission Fee,Bank Fees
Commission Fee,Bank Fees
Cedipsa,Travel - International
Vesna Dragojlov,Charitable and Political Donations: Vesna
Lorenwoka,Charitable and Political Donations: Lorenwoka
E.F.S,Telephone & Internet
Unknown,Cash ATM Transactions
RSPCA,Charitable and Political Donations: RSPCA
MUSEE ARABE DE LA PARU-E MARRAKECH,Entertainment
Spotify,Subscriptions
Commission Fee,Bank Fees
Materials Construccio,Property Expenses - Spain
Helpanimals,Charitable and Political Donations: Helpanimals
MUSEE ARABE DE LA PARURE,Travel - International
Zlakrvopijica,Charitable and Political Donations: Zlakrvopijica
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Bio Mobel,Property Expenses - Spain
Unknown,Cash ATM Transactions
