text1,text2
ZELOOF LLP (bookeeping & recharge),Accountancy & Bookeeping Fees
Blouberg Accounting,Accountancy & Bookeeping Fees
Job Today S.A.,Advertising & Marketing
Betterteam,Advertising & Marketing
Mailchimp,Advertising & Marketing
The Sup Group Ltd,Advertising & Marketing
ANOTHER KIND LTD,Advertising & Marketing
Howdy Digital,Advertising & Marketing
No Name,Advertising & Marketing
Facebook Ireland Limited,Advertising & Marketing
Facebook,Advertising & Marketing
Howdy Digital Limited,Advertising & Marketing
TG Design,Advertising & Marketing
George & Willy,Advertising & Marketing
MATERIALS EVENTS LTD (MA015),Advertising & Marketing
Meta Platforms Ireland,Advertising & Marketing
Bulba,Advertising & Marketing
Cadogan Tate,Antiques and Artwork
1STDIBS,Antiques and Artwork
Marlborough,Antiques and Artwork
Nonemore Limited,Antiques and Artwork
Connolly,Antiques and Artwork
White Cube Ltd,Antiques and Artwork
Beaumont Nathan,Antiques and Artwork
Darbyshire Framing,Antiques and Artwork
Tate.org.UK,Antiques and Artwork
Croizer Fine Art,Antiques and Artwork
Beyond Print,Antiques and Artwork
Sotherbys,Antiques and Artwork
David Kordansky Gallery,Antiques and Artwork
Incubator,Antiques and Artwork
Long & Ryle Limited,Antiques and Artwork
TFA London Ltd,Antiques and Artwork
The Collector's Workshop,Antiques and Artwork
Hamiltons Galleries Limited,Antiques and Artwork
Constantine Ltd,Antiques and Artwork
Helu-Trans (HK) Pte Limited,Antiques and Artwork
Queens Limited,Antiques and Artwork
LP ART,Antiques and Artwork
Charges,Bank Charges
Bank Charges,Bank Charges
Membership Fee,Bank Charges
Non-Sterling Transaction Fee,Bank Charges
Cardmembership Fee,Bank Charges
Cash Advance Fee,Bank Charges
AFTS,Bank Charges
Commission,Bank Charges
David Coul,Bank Charges
Apron Payments Ltd,Bank Charges
Bank charges,Bank Charges
MTG -Mortgage,Bank Interest Paid
SWB Mortgages,Bank Interest Paid
Interest Received,Bank Interest Received
Bank Interest,Bank Interest Received
Kindle UK,Books and Research
Waterstone,Books and Research
Mami Wata,Books and Research
The Walt Disney,Books and Research
David's Comics,Books and Research
Sundance Institute,Books and Research
The British Museum,Books and Research
Blackwells,Books and Research
Gallery Anzenberger,Books and Research
Dougal Wilson,Books and Research
