Date,Money in,Money out,Description
20/12/2020,,80,ALFRED DUNHILL LIMITED LONDON
20/12/2020,,64.07,THE IVY CAFE MARYLEBONE LONDON
20/12/2020,,59.95,CHESS & BRIDGE LIMITED LONDON
21/12/2020,,48.28,"PERIVALE SERVICE STATIO GREENFORD
BP Western Avenue GREENFORD"
22/12/2020,,180,SELFRIDGES RETAIL LONDON
23/12/2023,,15.95,Î‘ÎœÎ–ÎÎœÎšTPLACE LONDON
11/12/2024,,6.38,AMZNMKTPLACE LONDON
11/12/2024,6.38,,Amazon SWP
12/12/2024,,12.49,AMAZON.CO.UK*ID8Z10065 AMAZON.CO.UK
12/12/2024,,3.99,APPLE.COM/BILL HOLLYHILL
12/12/2024,,51.64,AMZNMKTPLACE*JL4G41C15 AMAZON.CO.UK
12/12/2024,,61.66,AMZNMKTPLACE*SX60F7KQ5 AMAZON.CO.UK
13/12/2024,,79.64,"WOODSTOCK FILLING STATI OXFORD
BP A40 Woodstock Road OXFORD"
14/12/2024,"1,668.84",,PAYMENT RECEIVED - THANK YOU
15/12/2024,0.69,,Amazon SWP
15/12/2024,,0.69,AMZNMKTPLACE LONDON
15/12/2024,,45.12,AMZNMKTPLACE*WR61R4UK5 AMAZON.CO.UK
15/12/2024,,8.99,AMAZON PRIME*CO0MV3DM5 AMZN.CO.UK/PM
16/12/2024,"2,168.73",,PAYMENT RECEIVED - THANK YOU
16/12/2024,,48.38,DELFINO LONDON
17/12/2024,,48,SELFRIDGES RETAIL LONDON
17/12/2024,,2.99,APPLE.COM/BILL HOLLYHILL
17/12/2024,,90,3CPAYMENT*HEDONISM WINE LONDON
17/12/2024,,44.44,DELFINO LONDON
18/12/2024,,44.44,DELFINO LONDON
18/12/2024,,4.05,"PAYPAL *YAHOO YAHOOMAIL 8003615610
Exchange Rate 1.2722 + Nonsterling Transaction Fee .12
UNITED STATES DOLLAR"
18/12/2024,,"5,388.40",3CPAYMENT*HEDONISM WINE LONDON
20/12/2024,,41.63,DELFINO LONDON
20/12/2024,"5,388.40",,PAYMENT RECEIVED - THANK YOU
23/12/2024,15.95,,Amazon SWP
25/12/2024,,3.49,APPLE.COM/BILL HOLLYHILL
28/12/2024,,10.99,APPLE.COM/BILL HOLLYHILL
