Description,Category
Balfe's BikesLondon,"Plant And Mach addition, 2202 - VAT"
Amazon,"Office Equipment, 2202 - VAT control"
being YE adj 2024,"Office Equip Depreciation b/f, 8004 - Dep on office equipment and 45 more"
Currys,"Office Equip additions, 2202 - VAT control"
Harrods Limited,"Office Equip additions, 2202 - VAT control"
Apple,"Office Equip additions, 2202 - VAT control"
Apple Distribution International,"Office Equipment Additions, 2202 - VAT"
Samsung,"Office Equipment Additions, 2202 - VAT"
B&CE Holdings Ltd,Pension Fund
Nest,Pension Fund
Crows Nest Hotel,Pension Fund
Nest Pension,Pension Fund
Scottish Widows,Scottish Widows
Zurich Assurance,Zurich Assurance
Bupa Central,Healthcare
The Portobello Clinic,Healthcare
Before The Lights Ltd,Healthcare
The Portobello Pharmacy,Healthcare
Private Consultant London,Healthcare
Mallon & Taub,Healthcare
90 Sloane Street Limited,Healthcare
Dr Martin GP LTD,Healthcare
Suzie Orbach,Healthcare
EAPEN & CO. LIMITED,Healthcare
Boots,Healthcare
Hilcrest Pharmacy London,Healthcare
National Pathology,Healthcare
OneWelbeck Imaging & Diagnostics,Healthcare
Tom Davies,Healthcare
Oliver James Warren,Healthcare
Kensington Physio,Healthcare
Princess Grace Hospital,Healthcare
London Medical,Healthcare
Hillcrest Pharmacy,Healthcare
Nationwide Pathology,Healthcare
WTF Therapy,Healthcare
Omid Sobhani,Healthcare
Farmacia Del Cervo,Healthcare
1 Stop Covid Shop,Healthcare
Fortius Clinic,Healthcare
GI Doctors,Healthcare
Andrology,Healthcare
Pharmacie,Healthcare
E-Line Orthodontics,Healthcare
Knightsbridge Dental Care,Healthcare
Nicole Hiebner,Healthcare
Worldwide Insurance,Healthcare
One Heart,Healthcare
HCA International,Healthcare
Portobello London,Healthcare
Harley Street Clinic,Healthcare
Medserv,Healthcare
Madesil Pharmacie,Healthcare
Speck,Healthcare
Functional Therapy,Healthcare
GOCARDLESS,Healthcare
BUPA CENTRAL A/C,Healthcare
Richie Bezuidenhout,Healthcare
Unknown,Healthcare
TRX Training,Healthcare
L P Limited,Healthcare
Dr Maciej Kargol,Healthcare
OneWelbeck Endoscopy Centre,Healthcare
The London Clinic,Healthcare
Wigmore Pharamcy,Healthcare
Pharmacie du Cap d'Antibes,Healthcare
Rizzo Parafarmacia,Healthcare
HCA Healthcare,Healthcare
Bohdana Timcsuk,Healthcare
Shoppers Drug Mart,Healthcare
Cromwell London,Healthcare
Game Ready Rental Ltd,Healthcare
Thompson Orthopaedics,Healthcare
MEDBC,Healthcare
Cleveland Clinic London,Healthcare
The Devonshire Clinic,Healthcare
Eve Kalinik,Healthcare
Mayfair Health Ltd,Healthcare
Bare Biology,Healthcare
Online Express,Healthcare
London clinic,Healthcare
One Welbeck,Healthcare
Welbeck Pharmacy,Healthcare
THOMPSON ORTHOPAEDICS LIMITED,Healthcare
The Centre For Physical Medicine Limited,Healthcare
Athletic Greens (UK),Healthcare
London Medical Concierge Limited,Healthcare
SP ARTAH NUTRITION LONDON,Healthcare
Aviva,Healthcare
Vodafone,Telephone
BT,Telephone
BRITISH TELECOM,Telephone
BT GROUP PLC,Telephone
VODAFONE LTD,Telephone
BT Consumer Recurring,Telephone
Apple.Com,Telephone
Bespoke telecom,Telephone
Uncrate,Golf expenses
The Machrie Golf,Golf expenses
Jennie Dunn Pro Shop,Golf expenses
Queenwood Golf Club,Golf expenses
Dukes Meadow Golf,Golf expenses
HON CO OF EDINBURGH GO GULLANE,Golf expenses
Stillman,Golf expenses
Aston Lark,Lark Insurance
Howden UK Brokers Limited,Lark Insurance
Virgin Media,50 Ladbroke Grove
TV Licensing,50 Ladbroke Grove
Barker Electricial,50 Ladbroke Grove
Chelsea Construction,50 Ladbroke Grove
Angels Cleaners,50 Ladbroke Grove
EDF,50 Ladbroke Grove
Feeling Hot,50 Ladbroke Grove
Daleside Consulting Limited T/A Golden Ticket,50 Ladbroke Grove
Ladbroke Square,50 Ladbroke Grove
SDTA Productions Ltd,50 Ladbroke Grove
HO Collection a/c,50 Ladbroke Grove
EDF ENERGY,50 Ladbroke Grove
JMW Barnard,50 Ladbroke Grove
Facil Productions Ltd,50 Ladbroke Grove
NPH,50 Ladbroke Grove
Peter Mikic Studio,50 Ladbroke Grove
BEAUMONT NATHAN FINE ART LIMITED,50 Ladbroke Grove
BLUE MOUNTAIN SCHOOL,50 Ladbroke Grove
MARC KJAER-NIELSEN,"50 Ladbroke Grove, 3070 - 2SC Expenses"
Cadogan Tate,Antiques and Artwork
DHL,Antiques and Artwork
1STDIBS,Antiques and Artwork
Marlborough,Antiques and Artwork
Nonemore Limited,Antiques and Artwork
MISS FAYE H W WONG,Antiques and Artwork
Connolly,Antiques and Artwork
White Cube Ltd,Antiques and Artwork
Beaumont Nathan,Antiques and Artwork
Darbyshire Framing,Antiques and Artwork
Tate.org.UK,Antiques and Artwork
Graham Harrison,Antiques and Artwork
Croizer Fine Art,Antiques and Artwork
Beyond Print,Antiques and Artwork
