Description,Category
ZELOOF LLP (bookeeping & recharge),Accountancy & Bookeeping Fees
Blouberg Accounting,Accountancy & Bookeeping Fees
Job Today S.A.,Advertising & Marketing
Betterteam,Advertising & Marketing
Mailchimp,Advertising & Marketing
Pleo transaction,Advertising & Marketing
The Sup Group Ltd,Advertising & sales promotion
ANOTHER KIND LTD,Advertising & sales promotion
Howdy Digital,Advertising & sales promotion
No Name,Advertising & sales promotion
Facebook Ireland Limited,Advertising & sales promotion
Andrew Busby,Advertising & sales promotion
Facebook,Advertising & sales promotion
Tom Cullen,Advertising & sales promotion
MISS KNOWLES,Advertising & sales promotion
Howdy Digital Limited,Advertising & sales promotion
TG Design,Advertising & sales promotion
George & Willy,Advertising & sales promotion
MATERIALS EVENTS LTD (MA015),Advertising & sales promotion
Meta Platforms Ireland,Advertising & sales promotion
Bulba,Advertising & sales promotion
Cadogan Tate,Antiques and Artwork
DHL,Antiques and Artwork
1STDIBS,Antiques and Artwork
Marlborough,Antiques and Artwork
Nonemore Limited,Antiques and Artwork
MISS FAYE H W WONG,Antiques and Artwork
Connolly,Antiques and Artwork
White Cube Ltd,Antiques and Artwork
Beaumont Nathan,Antiques and Artwork
Darbyshire Framing,Antiques and Artwork
Tate.org.UK,Antiques and Artwork
Graham Harrison,Antiques and Artwork
Croizer Fine Art,Antiques and Artwork
Beyond Print,Antiques and Artwork
Sotherbys,Antiques and Artwork
HMRC-IMPORT,Antiques and Artwork
David Kordansky Gallery,Antiques and Artwork
Incubator,Antiques and Artwork
Hamish Dewar,Antiques and Artwork
David Zwirner,Antiques and Artwork
Long & Ryle Limited,Antiques and Artwork
TFA London Ltd,Antiques and Artwork
The Collector's Workshop,Antiques and Artwork
Hamiltons Galleries Limited,Antiques and Artwork
Constantine Ltd,Antiques and Artwork
Helu-Trans (HK) Pte Limited,Antiques and Artwork
Michael Hoppen,Antiques and Artwork
Queens Limited,Antiques and Artwork
LP ART,Antiques and Artwork
OTT (London) Ltd,Aubrey Lodge
LIBBY COCKELL LLP,Aubrey Lodge
Harry Holding Garden Maintenance Ltd,Aubrey Lodge
Weightmans,Aubrey Lodge
GB GROUP PLC,Bad Debt Write Off
Charges,Bank Charges
Bank Charges,Bank Charges
Membership Fee,Bank Charges
