Description,Category
ZELOOF LLP (bookeeping & recharge),Legal and professional costs
Blouberg Accounting,Legal and professional costs
Job Today S.A.,Other expenses
Betterteam,Other expenses
Mailchimp,Other expenses
Pleo transaction,Other expenses
The Sup Group Ltd,Other expenses
ANOTHER KIND LTD,Other expenses
Howdy Digital,Other expenses
No Name,Other expenses
Facebook Ireland Limited,Other expenses
Andrew Busby,Other expenses
Facebook,Other expenses
Tom Cullen,Other expenses
MISS KNOWLES,Other expenses
Howdy Digital Limited,Other expenses
TG Design,Other expenses
George & Willy,Other expenses
MATERIALS EVENTS LTD (MA015),Other expenses
Meta Platforms Ireland,Other expenses
Bulba,Other expenses
Cadogan Tate,Other expenses
DHL,Other expenses
1STDIBS,Other expenses
Marlborough,Other expenses
Nonemore Limited,Other expenses
MISS FAYE H W WONG,Other expenses
Connolly,Other expenses
White Cube Ltd,Other expenses
Beaumont Nathan,Other expenses
Darbyshire Framing,Other expenses
Tate.org.UK,Other expenses
Graham Harrison,Other expenses
Croizer Fine Art,Other expenses
Beyond Print,Other expenses
Sotherbys,Other expenses
HMRC-IMPORT,Other expenses
David Kordansky Gallery,Other expenses
Incubator,Other expenses
Hamish Dewar,Other expenses
David Zwirner,Other expenses
Long & Ryle Limited,Other expenses
TFA London Ltd,Other expenses
The Collector's Workshop,Other expenses
Hamiltons Galleries Limited,Other expenses
Constantine Ltd,Other expenses
Helu-Trans (HK) Pte Limited,Other expenses
Michael Hoppen,Other expenses
Queens Limited,Other expenses
LP ART,Other expenses
OTT (London) Ltd,Rent rates insurance ground rents etc
LIBBY COCKELL LLP,Rent rates insurance ground rents etc
Harry Holding Garden Maintenance Ltd,Rent rates insurance ground rents etc
Weightmans,Rent rates insurance ground rents etc
GB GROUP PLC,Other financial costs
Charges,Other financial costs
Bank Charges,Other financial costs
Membership Fee,Other financial costs
Non-Sterling Transaction Fee,Other financial costs
Cardmembership Fee,Other financial costs
Cash Advance Fee,Other financial costs
AFTS,Other financial costs
Commission,Other financial costs
David Coul,Other financial costs
Apron Payments Ltd,Other financial costs
Bank charges,Other financial costs
Bank Charges,Other financial costs
Nisbets,Other financial costs
PLEO,Other financial costs
MTG -Mortgage,Finance costs subject to restriction
SWB Mortgages,Finance costs subject to restriction
Interest Received,Other income
Bank Interest,Other income
Breid Ltd,Other Expenses
HODINKEEMAG,Other Expenses
AUTOSPORT,Other Expenses
DVC RENTAL,Other Expenses
Kindle UK,Other Expenses
