Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
14 Oct 2023,Spend Money,Balfe's BikesLondon,,Balfe's BikesLondon,balfes bikeslondon,"Plant And Mach addition, 2202 - VAT",100.0,balfes bikeslondon,True,,,
17 Jan 2023,Spend Money,Amazon,,Amazon,amazon,"Office Equipment, 2202 - VAT control",100.0,amazon,True,,,
30 Jun 2024,Manual Journal,,,being YE adj 2024,being ye adj,"Office Equip Depreciation b/f, 8004 - Dep on office equipment and 45 more",100.0,being ye adj,True,,,
30 Jun 2024,Manual Journal,,,being YE adj 2024,being ye adj,"Office Equip Depreciation b/f, 8004 - Dep on office equipment and 45 more",100.0,being ye adj,True,,,
30 Jun 2024,Manual Journal,,,being YE adj 2024,being ye adj,"Office Equip Depreciation b/f, 8004 - Dep on office equipment and 45 more",100.0,being ye adj,True,,,
30 Jun 2024,Manual Journal,,,being YE adj 2024,being ye adj,"Office Equip Depreciation b/f, 8004 - Dep on office equipment and 45 more",100.0,being ye adj,True,,,
30 Jun 2024,Manual Journal,,,being YE adj 2024,being ye adj,"Office Equip Depreciation b/f, 8004 - Dep on office equipment and 45 more",100.0,being ye adj,True,,,
30 May 2022,Spend Money,Currys,,Currys,currys,"Office Equip additions, 2202 - VAT control",100.0,currys,True,,,
25 Sep 2022,Spend Money,Harrods Limited,,Harrods Limited,harrods limited,"Office Equip additions, 2202 - VAT control",100.0,harrods limited,True,,,
22 Nov 2022,Spend Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
07 Jan 2023,Receive Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
03 Feb 2023,Receive Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
16 Jul 2023,Spend Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
24 Jan 2025,Spend Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
22 Nov 2022,Receive Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
21 Sep 2023,Spend Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
16 Oct 2023,Spend Money,Apple Distribution International,,Apple Distribution International,apple distribution international,"Office Equipment Additions, 2202 - VAT",100.0,apple distribution international,True,,,
20 Oct 2023,Spend Money,Samsung,,Samsung,samsung,"Office Equipment Additions, 2202 - VAT",100.0,samsung,True,,,
02 Feb 2025,Receive Money,Apple,,Apple,apple,"Office Equip additions, 2202 - VAT control",100.0,apple,True,,,
28 Mar 2025,Spend Money,B&CE Holdings Ltd,,B&CE Holdings Ltd,bce holdings ltd,Pension Fund,100.0,bce holdings ltd,True,,,
28 Mar 2025,Spend Money,B&CE Holdings Ltd,,B&CE Holdings Ltd,bce holdings ltd,Pension Fund,100.0,bce holdings ltd,True,,,
28 Mar 2025,Spend Money,B&CE Holdings Ltd,,B&CE Holdings Ltd,bce holdings ltd,Pension Fund,100.0,bce holdings ltd,True,,,
31 Mar 2025,Spend Money,B&CE Holdings Ltd,,B&CE Holdings Ltd,bce holdings ltd,Pension Fund,100.0,bce holdings ltd,True,,,
31 Mar 2025,Spend Money,B&CE Holdings Ltd,,B&CE Holdings Ltd,bce holdings ltd,Pension Fund,100.0,bce holdings ltd,True,,,
22 Nov 2022,Spend Money,B&CE Holdings Ltd,,B&CE Holdings Ltd,bce holdings ltd,Pension Fund,100.0,bce holdings ltd,True,,,
